Name,City,State,Longitude,Latitude
Piedmont Triad International Airport,GREENSBORO,NC,-79.937302,36.097801
Pensacola International Airport,PENSACOLA,FL,-87.1866,30.4734
Tallahassee Regional Airport,TALLAHASSEE,FL,-84.350304,30.3965
Sarasota Bradenton International Airport,SARASOTA/BRADENTON,FL,-82.554359,27.394631
Rapid City Regional Airport,RAPID CITY,SD,-103.05699920654297,44.0452995300293
Boeing Field King County International Airport,SEATTLE,WA,-122.302002,47.529999
Teterboro Airport,TETERBORO,NJ,-74.060799,40.850101
Asheville Regional Airport,ASHEVILLE,NC,-82.541801,35.436199
Monterey Peninsula Airport,MONTEREY,CA,-121.84300231933594,36.58700180053711
Daytona Beach International Airport,DAYTONA BEACH,FL,-81.058098,29.179899
St. Petersburg Clearwater International Airport,PINELLAS PARK,FL,-82.687401,27.9102
Orlando Sanford International Airport,ORLANDO,FL,-81.23750305175781,28.777599334716797
Akron Canton Regional Airport,AKRON,OH,-81.44219970703125,40.916099548339844
Bangor International Airport,BANGOR,ME,-68.828102,44.8074
Columbia Metropolitan Airport,COLUMBIA,SC,-81.119499,33.938801
North Las Vegas Metropolitan International Airport,LAS VEGAS,NV,-115.194,36.210701
Charlottesville Albemarle Airport,CHARLOTTESVILLE,VA,-78.4529037475586,38.13859939575195
Harrisburg International Airport,HARRISBURG,PA,-76.763397,40.193501
Huntsville International Carl T Jones Field,HUNTSVILLE,AL,-86.775101,34.637199
Jackson Hole Airport,JACKSON,WY,-110.73799896240234,43.6072998046875
Chattanooga Metropolitan Airport (Lovell Field),CHATTANOOGA,TN,-85.203796,35.035301
Fresno Yosemite International Airport,FRESNO,CA,-119.718002,36.776199
Lubbock Preston Smith International Airport,LUBBOCK,TX,-101.822998,33.663601
Myrtle Beach International Airport,MYRTLE BEACH,SC,-78.928299,33.679699
Austin Straubel International Airport,GREEN BAY,WI,-88.130805,44.483459
Van Nuys Airport,VAN NUYS,CA,-118.48999786377,34.209800720215
Santa Fe Municipal Airport,SANTA FE,NM,-106.088997,35.6171
Centennial Airport,DENVER,CO,-104.848999,39.57009888
Kissimmee Gateway Airport,ORLANDO,FL,-81.4371032715,28.2898006439
DeKalb Peachtree Airport,ATLANTA,GA,-84.30213,33.87633
Springfield Branson National Airport,SPRINGFIELD,MO,-93.388603,37.245701
Rick Husband Amarillo International Airport,AMARILLO,TX,-101.706001,35.219398
The Eastern Iowa Airport,CEDAR RAPIDS,IA,-91.7108,41.884701
San Luis County Regional Airport,SAN LUIS OBISPO,CA,-120.641998291,35.236801147499996
South Bend Regional Airport,SOUTH BEND,IN,-86.317299,41.708698
Bellingham International Airport,BELLINGHAM,WA,-122.53800201416016,48.79280090332031
Santa Monica Municipal Airport,SANTA MONICA,CA,-118.450996,34.0158
Hector International Airport,FARGO,ND,-96.81580352783203,46.92070007324219
Gainesville Regional Airport,GAINESVILLE,FL,-82.2717971802,29.6900997162
New York Stewart International Airport,NEWBURGH,NY,-74.104797,41.504101
Sioux Falls Regional Airport / Joe Foss Field,SIOUX FALLS,SD,-96.741152,43.585463
